MatchId,Tournament,DateTime_UTC,Winner,Team1,Team2,1_0_win,1_0_game_length,1_0_gold,1_0_gold_lead,1_0_kills,1_0_kills_lead,1_0_dragons,1_0_dragons_lead,1_0_barons,1_0_barons_lead,1_0_towers,1_0_towers_lead,1_0_inhibitors,1_0_inhibitors_lead,1_0_heralds,1_0_heralds_lead,1_0_grubs,1_0_grubs_lead,1_0_gpm,1_0_kpm,2_0_win,2_0_game_length,2_0_gold,2_0_gold_lead,2_0_kills,2_0_kills_lead,2_0_dragons,2_0_dragons_lead,2_0_barons,2_0_barons_lead,2_0_towers,2_0_towers_lead,2_0_inhibitors,2_0_inhibitors_lead,2_0_heralds,2_0_heralds_lead,2_0_grubs,2_0_grubs_lead,2_0_gpm,2_0_kpm,1_5_kills,1_5_deaths,1_5_assists,1_5_gold,1_5_cs,1_5_dmg,1_4_kills,1_4_deaths,1_4_assists,1_4_gold,1_4_cs,1_4_dmg,1_3_kills,1_3_deaths,1_3_assists,1_3_gold,1_3_cs,1_3_dmg,1_2_kills,1_2_deaths,1_2_assists,1_2_gold,1_2_cs,1_2_dmg,1_1_kills,1_1_deaths,1_1_assists,1_1_gold,1_1_cs,1_1_dmg,2_5_kills,2_5_deaths,2_5_assists,2_5_gold,2_5_cs,2_5_dmg,2_4_kills,2_4_deaths,2_4_assists,2_4_gold,2_4_cs,2_4_dmg,2_3_kills,2_3_deaths,2_3_assists,2_3_gold,2_3_cs,2_3_dmg,2_2_kills,2_2_deaths,2_2_assists,2_2_gold,2_2_cs,2_2_dmg,2_1_kills,2_1_deaths,2_1_assists,2_1_gold,2_1_cs,2_1_dmg
2025 Mid-Season Invitational_Play-In Day 3_1,MSI 2025,2025-06-30 03:37:00,1,G2 Esports,GAM Esports,0.4,33.3750000000001,62591.1,2533.9,14.8,2.2,2.5,0.6,0.9,0.6,7.1,1.1,1.2,0.5,0.5,0.0,1.9,0.8,1875.4794628200175,0.44448912290872045,0.4,32.7083333333332,61185.9,3001.3,16.1,3.8,2.6,0.4,0.5,0.2,6.3,1.7,1.0,0.5,0.4,-0.2,1.7,0.4,1888.194991952067,0.5175936993454424,0.4,3.9,8.5,7932.5,31.1,6968.3,3.5,2.0,4.5,14362.7,318.7,23515.8,3.3,3.1,5.7,13790.1,289.2,22192.7,3.0,2.1,6.2,12354.6,217.6,12888.5,2.3,3.8,4.1,12364.4,248.0,18707.2,0.7,3.1,9.2,8062.2,31.3,6744.7,4.0,3.3,5.3,14047.7,303.6,20046.3,2.1,2.8,6.6,12127.3,264.3,18082.5,3.2,3.4,7.2,11522.8,200.1,13337.0,3.0,3.0,5.5,12651.9,262.5,19013.3
2025 Mid-Season Invitational_Play-In Day 3_1,MSI 2025,2025-06-30 00:07:00,1,G2 Esports,GAM Esports,0.4,33.3750000000001,62591.1,2533.9,14.8,2.2,2.5,0.6,0.9,0.6,7.1,1.1,1.2,0.5,0.5,0.0,1.9,0.8,1875.4794628200175,0.44448912290872045,0.4,32.7083333333332,61185.9,3001.3,16.1,3.8,2.6,0.4,0.5,0.2,6.3,1.7,1.0,0.5,0.4,-0.2,1.7,0.4,1888.194991952067,0.5175936993454424,0.4,3.9,8.5,7932.5,31.1,6968.3,3.5,2.0,4.5,14362.7,318.7,23515.8,3.3,3.1,5.7,13790.1,289.2,22192.7,3.0,2.1,6.2,12354.6,217.6,12888.5,2.3,3.8,4.1,12364.4,248.0,18707.2,0.7,3.1,9.2,8062.2,31.3,6744.7,4.0,3.3,5.3,14047.7,303.6,20046.3,2.1,2.8,6.6,12127.3,264.3,18082.5,3.2,3.4,7.2,11522.8,200.1,13337.0,3.0,3.0,5.5,12651.9,262.5,19013.3
2025 Mid-Season Invitational_Play-In Day 3_1,MSI 2025,2025-06-30 00:57:00,2,GAM Esports,G2 Esports,0.4,32.7083333333332,61185.9,3001.3,16.1,3.8,2.6,0.4,0.5,0.2,6.3,1.7,1.0,0.5,0.4,-0.2,1.7,0.4,1888.194991952067,0.5175936993454424,0.4,33.3750000000001,62591.1,2533.9,14.8,2.2,2.5,0.6,0.9,0.6,7.1,1.1,1.2,0.5,0.5,0.0,1.9,0.8,1875.4794628200175,0.44448912290872045,0.7,3.1,9.2,8062.2,31.3,6744.7,4.0,3.3,5.3,14047.7,303.6,20046.3,2.1,2.8,6.6,12127.3,264.3,18082.5,3.2,3.4,7.2,11522.8,200.1,13337.0,3.0,3.0,5.5,12651.9,262.5,19013.3,0.4,3.9,8.5,7932.5,31.1,6968.3,3.5,2.0,4.5,14362.7,318.7,23515.8,3.3,3.1,5.7,13790.1,289.2,22192.7,3.0,2.1,6.2,12354.6,217.6,12888.5,2.3,3.8,4.1,12364.4,248.0,18707.2
2025 Mid-Season Invitational_Play-In Day 3_1,MSI 2025,2025-06-30 01:51:00,1,GAM Esports,G2 Esports,0.4,32.7083333333332,61185.9,3001.3,16.1,3.8,2.6,0.4,0.5,0.2,6.3,1.7,1.0,0.5,0.4,-0.2,1.7,0.4,1888.194991952067,0.5175936993454424,0.4,33.3750000000001,62591.1,2533.9,14.8,2.2,2.5,0.6,0.9,0.6,7.1,1.1,1.2,0.5,0.5,0.0,1.9,0.8,1875.4794628200175,0.44448912290872045,0.7,3.1,9.2,8062.2,31.3,6744.7,4.0,3.3,5.3,14047.7,303.6,20046.3,2.1,2.8,6.6,12127.3,264.3,18082.5,3.2,3.4,7.2,11522.8,200.1,13337.0,3.0,3.0,5.5,12651.9,262.5,19013.3,0.4,3.9,8.5,7932.5,31.1,6968.3,3.5,2.0,4.5,14362.7,318.7,23515.8,3.3,3.1,5.7,13790.1,289.2,22192.7,3.0,2.1,6.2,12354.6,217.6,12888.5,2.3,3.8,4.1,12364.4,248.0,18707.2
2025 Mid-Season Invitational_Play-In Day 3_1,MSI 2025,2025-06-30 02:45:00,2,G2 Esports,GAM Esports,0.4,33.3750000000001,62591.1,2533.9,14.8,2.2,2.5,0.6,0.9,0.6,7.1,1.1,1.2,0.5,0.5,0.0,1.9,0.8,1875.4794628200175,0.44448912290872045,0.4,32.7083333333332,61185.9,3001.3,16.1,3.8,2.6,0.4,0.5,0.2,6.3,1.7,1.0,0.5,0.4,-0.2,1.7,0.4,1888.194991952067,0.5175936993454424,0.4,3.9,8.5,7932.5,31.1,6968.3,3.5,2.0,4.5,14362.7,318.7,23515.8,3.3,3.1,5.7,13790.1,289.2,22192.7,3.0,2.1,6.2,12354.6,217.6,12888.5,2.3,3.8,4.1,12364.4,248.0,18707.2,0.7,3.1,9.2,8062.2,31.3,6744.7,4.0,3.3,5.3,14047.7,303.6,20046.3,2.1,2.8,6.6,12127.3,264.3,18082.5,3.2,3.4,7.2,11522.8,200.1,13337.0,3.0,3.0,5.5,12651.9,262.5,19013.3
2025 Mid-Season Invitational_Play-In Day 2_2,MSI 2025,2025-06-29 00:15:00,1,Bilibili Gaming,G2 Esports,0.7,31.856666666666797,57830.2,-3757.4,14.7,-4.6,1.3,-1.8,0.5,0.0,3.8,-3.3,0.4,-1.2,0.4,-0.2,1.1,-0.8,1798.4613309934969,0.44745145542297504,0.5,34.51000000000009,63854.2,789.0,14.5,1.3,2.6,0.3,1.0,0.6,6.0,-0.4,1.0,0.1,0.4,-0.2,1.6,0.2,1854.097828664435,0.42522447920214335,1.2,3.1,14.3,8623.6,37.7,8180.9,5.5,2.7,8.4,14544.6,289.4,26293.0,5.2,3.4,7.4,13822.3,260.9,23249.5,3.3,3.1,9.7,11867.1,210.2,15674.8,3.9,2.6,6.6,12891.6,247.6,21618.3,0.4,3.6,9.4,8311.8,31.4,7583.3,4.2,2.0,5.3,15237.4,329.8,23815.9,3.7,2.7,5.8,14642.9,309.3,23001.4,3.2,2.1,6.9,12685.6,224.6,12750.3,2.4,3.4,5.1,13136.8,261.0,20912.0
2025 Mid-Season Invitational_Play-In Day 2_2,MSI 2025,2025-06-29 01:11:00,2,G2 Esports,Bilibili Gaming,0.5,34.51000000000009,63854.2,789.0,14.5,1.3,2.6,0.3,1.0,0.6,6.0,-0.4,1.0,0.1,0.4,-0.2,1.6,0.2,1854.097828664435,0.42522447920214335,0.7,31.856666666666797,57830.2,-3757.4,14.7,-4.6,1.3,-1.8,0.5,0.0,3.8,-3.3,0.4,-1.2,0.4,-0.2,1.1,-0.8,1798.4613309934969,0.44745145542297504,0.4,3.6,9.4,8311.8,31.4,7583.3,4.2,2.0,5.3,15237.4,329.8,23815.9,3.7,2.7,5.8,14642.9,309.3,23001.4,3.2,2.1,6.9,12685.6,224.6,12750.3,2.4,3.4,5.1,13136.8,261.0,20912.0,1.2,3.1,14.3,8623.6,37.7,8180.9,5.5,2.7,8.4,14544.6,289.4,26293.0,5.2,3.4,7.4,13822.3,260.9,23249.5,3.3,3.1,9.7,11867.1,210.2,15674.8,3.9,2.6,6.6,12891.6,247.6,21618.3
2025 Mid-Season Invitational_Play-In Day 2_2,MSI 2025,2025-06-29 02:03:00,2,G2 Esports,Bilibili Gaming,0.5,34.51000000000009,63854.2,789.0,14.5,1.3,2.6,0.3,1.0,0.6,6.0,-0.4,1.0,0.1,0.4,-0.2,1.6,0.2,1854.097828664435,0.42522447920214335,0.7,31.856666666666797,57830.2,-3757.4,14.7,-4.6,1.3,-1.8,0.5,0.0,3.8,-3.3,0.4,-1.2,0.4,-0.2,1.1,-0.8,1798.4613309934969,0.44745145542297504,0.4,3.6,9.4,8311.8,31.4,7583.3,4.2,2.0,5.3,15237.4,329.8,23815.9,3.7,2.7,5.8,14642.9,309.3,23001.4,3.2,2.1,6.9,12685.6,224.6,12750.3,2.4,3.4,5.1,13136.8,261.0,20912.0,1.2,3.1,14.3,8623.6,37.7,8180.9,5.5,2.7,8.4,14544.6,289.4,26293.0,5.2,3.4,7.4,13822.3,260.9,23249.5,3.3,3.1,9.7,11867.1,210.2,15674.8,3.9,2.6,6.6,12891.6,247.6,21618.3
2025 Mid-Season Invitational_Play-In Day 2_1,MSI 2025,2025-06-28 19:08:00,1,GAM Esports,FURIA,0.4,33.04,59655.5,-1954.9,13.1,-0.5,2.3,-0.2,0.3,-0.2,5.1,-1.3,0.7,-0.2,0.2,-0.6,1.1,-0.8,1813.303177643089,0.41276539079048885,0.6,32.0866666666668,59747.3,-418.6,17.3,0.9,1.7,-1.1,0.4,-0.3,6.3,0.4,0.9,0.1,0.2,-0.6,1.7,0.4,1863.4580055323283,0.5403005864452833,0.6,3.5,8.2,7921.7,32.3,6536.3,4.4,3.0,3.7,14467.0,304.9,19872.2,2.2,2.8,5.7,12945.8,283.9,17244.1,1.4,3.3,6.8,10974.9,202.6,10481.5,2.6,3.0,5.3,12398.5,261.0,17856.0,0.7,3.6,12.7,8046.3,32.3,7082.0,5.0,2.4,6.2,14296.5,288.2,22277.3,4.2,3.6,6.8,12735.4,260.0,20239.4,3.5,2.6,9.4,11899.0,205.8,15096.6,4.8,3.3,7.0,12991.1,247.8,24935.7
2025 Mid-Season Invitational_Play-In Day 2_1,MSI 2025,2025-06-28 20:13:00,2,GAM Esports,FURIA,0.4,33.04,59655.5,-1954.9,13.1,-0.5,2.3,-0.2,0.3,-0.2,5.1,-1.3,0.7,-0.2,0.2,-0.6,1.1,-0.8,1813.303177643089,0.41276539079048885,0.6,32.0866666666668,59747.3,-418.6,17.3,0.9,1.7,-1.1,0.4,-0.3,6.3,0.4,0.9,0.1,0.2,-0.6,1.7,0.4,1863.4580055323283,0.5403005864452833,0.6,3.5,8.2,7921.7,32.3,6536.3,4.4,3.0,3.7,14467.0,304.9,19872.2,2.2,2.8,5.7,12945.8,283.9,17244.1,1.4,3.3,6.8,10974.9,202.6,10481.5,2.6,3.0,5.3,12398.5,261.0,17856.0,0.7,3.6,12.7,8046.3,32.3,7082.0,5.0,2.4,6.2,14296.5,288.2,22277.3,4.2,3.6,6.8,12735.4,260.0,20239.4,3.5,2.6,9.4,11899.0,205.8,15096.6,4.8,3.3,7.0,12991.1,247.8,24935.7
2025 Mid-Season Invitational_Play-In Day 2_1,MSI 2025,2025-06-28 21:02:00,2,GAM Esports,FURIA,0.4,33.04,59655.5,-1954.9,13.1,-0.5,2.3,-0.2,0.3,-0.2,5.1,-1.3,0.7,-0.2,0.2,-0.6,1.1,-0.8,1813.303177643089,0.41276539079048885,0.6,32.0866666666668,59747.3,-418.6,17.3,0.9,1.7,-1.1,0.4,-0.3,6.3,0.4,0.9,0.1,0.2,-0.6,1.7,0.4,1863.4580055323283,0.5403005864452833,0.6,3.5,8.2,7921.7,32.3,6536.3,4.4,3.0,3.7,14467.0,304.9,19872.2,2.2,2.8,5.7,12945.8,283.9,17244.1,1.4,3.3,6.8,10974.9,202.6,10481.5,2.6,3.0,5.3,12398.5,261.0,17856.0,0.7,3.6,12.7,8046.3,32.3,7082.0,5.0,2.4,6.2,14296.5,288.2,22277.3,4.2,3.6,6.8,12735.4,260.0,20239.4,3.5,2.6,9.4,11899.0,205.8,15096.6,4.8,3.3,7.0,12991.1,247.8,24935.7
2025 Mid-Season Invitational_Play-In Day 2_1,MSI 2025,2025-06-28 21:59:00,2,FURIA,GAM Esports,0.6,32.0866666666668,59747.3,-418.6,17.3,0.9,1.7,-1.1,0.4,-0.3,6.3,0.4,0.9,0.1,0.2,-0.6,1.7,0.4,1863.4580055323283,0.5403005864452833,0.4,33.04,59655.5,-1954.9,13.1,-0.5,2.3,-0.2,0.3,-0.2,5.1,-1.3,0.7,-0.2,0.2,-0.6,1.1,-0.8,1813.303177643089,0.41276539079048885,0.7,3.6,12.7,8046.3,32.3,7082.0,5.0,2.4,6.2,14296.5,288.2,22277.3,4.2,3.6,6.8,12735.4,260.0,20239.4,3.5,2.6,9.4,11899.0,205.8,15096.6,4.8,3.3,7.0,12991.1,247.8,24935.7,0.6,3.5,8.2,7921.7,32.3,6536.3,4.4,3.0,3.7,14467.0,304.9,19872.2,2.2,2.8,5.7,12945.8,283.9,17244.1,1.4,3.3,6.8,10974.9,202.6,10481.5,2.6,3.0,5.3,12398.5,261.0,17856.0
