loss,learning_rate,n_estimators,subsample,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy
log_loss,0.01,200,0.7000000000000001,squared_error,26,29,15,6,0.6360780423280423
exponential,0.01,290,0.1,friedman_mse,28,12,10,17,0.6157407407407407
log_loss,0.0001,130,0.7000000000000001,squared_error,58,14,3,5,0.6342592592592593
exponential,0.001,140,0.1,friedman_mse,29,6,15,37,0.6076388888888888
log_loss,0.01,170,1.0,squared_error,36,17,15,6,0.6326058201058201
exponential,0.01,240,0.8,friedman_mse,58,22,10,27,0.6350859788359788
log_loss,0.001,190,0.9,squared_error,54,22,14,38,0.6306216931216931
exponential,0.01,240,0.1,friedman_mse,25,17,12,14,0.6167328042328042
log_loss,0.01,290,0.9,squared_error,24,26,9,18,0.6350859788359788
exponential,0.1,150,0.5,friedman_mse,20,13,5,19,0.6301256613756614
log_loss,0.01,290,0.9,squared_error,55,26,9,38,0.6365740740740741
exponential,0.01,240,0.8,squared_error,58,14,3,5,0.6359126984126984
log_loss,0.01,170,1.0,squared_error,36,18,15,6,0.6326058201058201
log_loss,0.01,170,0.7000000000000001,squared_error,26,26,15,6,0.6339285714285714
log_loss,0.01,200,0.7000000000000001,squared_error,26,26,9,18,0.640707671957672
log_loss,0.01,240,0.5,friedman_mse,58,19,10,36,0.6337632275132276
log_loss,0.0001,130,0.2,squared_error,58,6,10,5,0.6127645502645502
log_loss,0.01,170,1.0,squared_error,36,17,8,6,0.6359126984126984
exponential,0.01,200,0.9,squared_error,55,27,8,38,0.6364087301587301
log_loss,0.01,290,0.9,squared_error,55,26,1,6,0.6329365079365079
log_loss,0.01,200,0.7000000000000001,friedman_mse,26,17,8,6,0.6383928571428571
log_loss,0.01,170,1.0,squared_error,36,17,8,14,0.6314484126984127
exponential,0.01,240,0.9,squared_error,58,26,9,17,0.6311177248677249
log_loss,0.01,200,0.7000000000000001,squared_error,55,2,9,38,0.6377314814814815
exponential,0.01,290,0.9,squared_error,43,29,15,6,0.6382275132275133
log_loss,0.01,200,0.7000000000000001,friedman_mse,26,29,8,6,0.6331018518518519
exponential,0.01,240,0.7000000000000001,squared_error,58,14,12,32,0.6331018518518519
log_loss,0.1,200,0.7000000000000001,squared_error,26,17,8,6,0.6311177248677249
exponential,0.01,190,0.7000000000000001,friedman_mse,24,17,9,6,0.6339285714285714
exponential,0.01,290,0.6000000000000001,squared_error,43,24,9,38,0.6370701058201058
log_loss,0.01,200,0.7000000000000001,friedman_mse,55,2,2,38,0.6340939153439153
exponential,0.01,200,0.9,friedman_mse,26,26,9,5,0.6372354497354498
log_loss,0.001,200,0.7000000000000001,friedman_mse,45,17,8,6,0.6360780423280423
exponential,0.1,290,0.9,squared_error,55,29,15,6,0.6291335978835979
exponential,0.01,290,0.9,squared_error,43,24,15,38,0.6382275132275133
log_loss,0.001,200,0.9,friedman_mse,55,27,8,38,0.6332671957671958
log_loss,0.01,290,0.6000000000000001,squared_error,43,24,5,38,0.6377314814814815
log_loss,0.1,200,1.0,friedman_mse,26,26,9,5,0.6307870370370371
exponential,0.01,200,0.9,squared_error,26,26,9,31,0.6344246031746031
exponential,0.0001,290,0.1,friedman_mse,45,17,8,6,0.6116071428571429
log_loss,0.001,200,0.7000000000000001,squared_error,26,26,9,18,0.6335978835978836
exponential,0.01,290,0.7000000000000001,squared_error,43,4,12,38,0.6335978835978836
exponential,0.01,270,0.9,friedman_mse,26,26,9,5,0.6365740740740741
exponential,0.01,200,0.9,friedman_mse,26,26,9,38,0.6359126984126984
exponential,0.01,290,0.6000000000000001,friedman_mse,45,17,8,6,0.6393849206349206
log_loss,0.01,290,0.6000000000000001,friedman_mse,45,17,8,6,0.6360780423280423
exponential,0.01,290,0.6000000000000001,squared_error,43,24,5,38,0.6362433862433863
log_loss,0.01,290,0.6000000000000001,squared_error,43,24,9,29,0.6337632275132276
log_loss,0.01,200,0.9,friedman_mse,26,26,9,38,0.6321097883597884
exponential,0.01,200,0.9,friedman_mse,26,25,9,18,0.6374007936507936
log_loss,0.1,260,0.7000000000000001,squared_error,26,26,9,6,0.6235119047619048
log_loss,0.01,290,0.6000000000000001,friedman_mse,55,26,9,5,0.6349206349206349
log_loss,0.01,210,0.9,friedman_mse,26,26,9,38,0.6291335978835979
log_loss,0.01,200,0.6000000000000001,friedman_mse,45,24,5,38,0.6342592592592593
log_loss,0.01,290,0.6000000000000001,squared_error,26,13,3,18,0.6334325396825397
exponential,0.01,200,0.9,friedman_mse,55,24,7,38,0.6326058201058201
log_loss,0.001,290,0.6000000000000001,friedman_mse,27,17,8,6,0.6339285714285714
log_loss,0.001,200,0.7000000000000001,squared_error,26,7,9,18,0.6344246031746031
log_loss,0.01,200,0.7000000000000001,squared_error,43,28,5,38,0.6372354497354498
log_loss,0.01,290,0.6000000000000001,squared_error,43,24,5,18,0.636739417989418
exponential,0.01,200,0.9,friedman_mse,26,25,5,29,0.6324404761904762
exponential,0.01,300,0.6000000000000001,squared_error,43,3,8,6,0.6375661375661376
log_loss,0.01,300,0.6000000000000001,squared_error,28,3,8,6,0.6360780423280423
exponential,0.01,200,0.1,squared_error,42,28,5,38,0.6076388888888888
log_loss,0.0001,200,0.7000000000000001,squared_error,43,30,13,18,0.6306216931216931
log_loss,0.01,290,0.6000000000000001,squared_error,26,7,9,18,0.6326058201058201
log_loss,0.001,200,0.7000000000000001,squared_error,26,7,9,34,0.6377314814814815
log_loss,0.01,200,0.7000000000000001,squared_error,43,12,8,6,0.6329365079365079
log_loss,0.01,300,0.1,squared_error,43,28,5,38,0.6170634920634921
log_loss,0.01,200,0.7000000000000001,friedman_mse,43,18,5,18,0.6312830687830688
exponential,0.001,290,0.6000000000000001,squared_error,53,7,9,18,0.6362433862433863
log_loss,0.001,200,0.7000000000000001,squared_error,26,26,9,34,0.6309523809523809
log_loss,0.1,200,0.7000000000000001,friedman_mse,53,7,9,18,0.6256613756613757
exponential,0.001,290,0.6000000000000001,squared_error,28,3,8,6,0.6329365079365079
log_loss,0.01,300,0.6000000000000001,squared_error,43,12,8,6,0.6357473544973545
log_loss,0.01,200,0.7000000000000001,squared_error,53,12,9,18,0.6383928571428571
log_loss,0.01,200,0.30000000000000004,squared_error,55,26,9,28,0.6302910052910053
exponential,0.001,280,0.6000000000000001,squared_error,53,7,9,18,0.6362433862433863
