hidden_layer_sizes,activation,solver,learning_rate,learning_rate_init,alpha,max_iter,accuracy
"(50, 50)",tanh,sgd,invscaling,0.01,0.1,800,0.5826719576719577
"(128, 64)",tanh,sgd,constant,0.1,0.01,1700,0.6021825396825397
"(100, 100)",relu,sgd,constant,1e-05,0.1,1100,0.5006613756613757
"(50, 50)",relu,adam,invscaling,0.1,0.0001,1400,0.6030092592592593
"(128, 64)",identity,sgd,adaptive,1e-05,0.01,1500,0.4816468253968254
"(50, 50)",tanh,sgd,adaptive,0.0001,0.01,1900,0.5646494708994709
"(50, 50)",tanh,sgd,adaptive,0.0001,1e-05,2000,0.5646494708994709
"(50, 25, 10)",tanh,lbfgs,invscaling,0.001,0.0001,1300,0.6056547619047619
"(50, 25, 10)",relu,adam,invscaling,0.01,0.001,800,0.6003637566137566
"(100, 50)",relu,lbfgs,adaptive,0.01,1e-05,1800,0.6028439153439153
"(50, 25, 10)",tanh,lbfgs,invscaling,1e-05,0.0001,1400,0.6056547619047619
"(50, 50)",relu,adam,invscaling,0.1,1e-05,2000,0.6021825396825397
"(100, 50)",relu,lbfgs,adaptive,0.01,1e-05,1700,0.6021825396825397
"(128, 64)",tanh,adam,invscaling,0.01,0.001,1900,0.5968915343915344
"(50, 50)",tanh,sgd,invscaling,0.001,0.0001,1300,0.5629960317460317
"(50, 25, 10)",tanh,adam,invscaling,0.1,0.0001,1100,0.5006613756613757
"(50, 50)",relu,adam,invscaling,0.1,0.0001,1800,0.6030092592592593
"(100, 50)",relu,sgd,constant,0.1,0.01,1700,0.6016865079365079
"(128, 64)",tanh,sgd,invscaling,1e-05,0.001,800,0.5003306878306878
"(50, 25, 10)",tanh,sgd,invscaling,1e-05,1e-05,2000,0.4826388888888889
"(50, 25, 10)",tanh,lbfgs,invscaling,0.1,0.0001,1800,0.6056547619047619
"(50, 50)",identity,adam,invscaling,0.1,0.0001,1700,0.6030092592592593
"(100, 50)",relu,lbfgs,adaptive,0.1,1e-05,2000,0.5988756613756614
"(50, 50)",relu,lbfgs,adaptive,0.1,1e-05,1400,0.5983796296296297
"(50, 25, 10)",tanh,lbfgs,invscaling,0.001,1e-05,1300,0.6043320105820106
"(50, 25, 10)",tanh,lbfgs,invscaling,0.0001,0.0001,1800,0.6056547619047619
"(50, 50)",relu,adam,invscaling,0.1,0.0001,1700,0.6030092592592593
"(100, 50)",relu,adam,constant,0.1,1e-05,2000,0.6078042328042328
"(128, 64)",relu,adam,adaptive,0.01,0.0001,1800,0.576058201058201
"(50, 25, 10)",relu,lbfgs,invscaling,0.1,1e-06,900,0.6005291005291006
"(50, 25, 10)",tanh,lbfgs,invscaling,1e-05,0.01,1200,0.603505291005291
"(128, 64)",tanh,lbfgs,constant,0.1,1e-05,2000,0.6064814814814815
"(50, 25, 10)",relu,adam,adaptive,0.1,1e-05,1800,0.6018518518518519
"(50, 25, 10)",tanh,lbfgs,invscaling,0.1,0.1,1300,0.6059854497354498
"(100, 50)",identity,adam,constant,0.1,1e-06,2000,0.5987103174603174
"(128, 64)",tanh,lbfgs,constant,0.0001,1e-05,800,0.6064814814814815
"(50, 25, 10)",tanh,lbfgs,invscaling,0.1,0.0001,1000,0.6056547619047619
"(100, 100)",tanh,adam,invscaling,0.1,0.0001,1800,0.5922619047619048
"(50, 25, 10)",tanh,lbfgs,adaptive,0.1,0.0001,1400,0.6056547619047619
"(50, 25, 10)",relu,adam,constant,1e-05,1e-05,2000,0.6041666666666666
"(128, 64)",tanh,lbfgs,constant,0.1,0.1,1300,0.6064814814814815
"(50, 25, 10)",identity,lbfgs,invscaling,0.1,0.0001,1400,0.6049933862433863
"(50, 25, 10)",tanh,lbfgs,invscaling,1e-05,0.0001,1800,0.6056547619047619
"(100, 50)",relu,sgd,constant,1e-05,0.1,1300,0.49933862433862436
"(50, 25, 10)",tanh,lbfgs,constant,0.0001,1e-05,800,0.6043320105820106
"(128, 64)",tanh,lbfgs,invscaling,0.0001,0.0001,1800,0.6063161375661376
"(128, 64)",tanh,sgd,adaptive,0.001,0.1,1400,0.6044973544973545
"(50, 25, 10)",tanh,lbfgs,adaptive,0.1,0.0001,2000,0.6056547619047619
"(128, 64)",logistic,lbfgs,constant,1e-05,1e-06,800,0.4689153439153439
"(128, 64)",tanh,sgd,invscaling,1e-05,0.0001,1800,0.5003306878306878
"(50, 25, 10)",tanh,lbfgs,invscaling,0.1,0.0001,1400,0.6056547619047619
"(100, 50)",tanh,lbfgs,constant,0.1,0.1,1300,0.6058201058201058
"(100, 100)",tanh,adam,adaptive,0.1,0.1,1800,0.49933862433862436
"(50, 50)",tanh,lbfgs,invscaling,0.0001,0.0001,1400,0.6049933862433863
"(50, 25, 10)",tanh,lbfgs,adaptive,0.1,1e-05,2000,0.6043320105820106
"(100, 50)",relu,adam,constant,0.1,0.1,1300,0.5006613756613757
"(100, 50)",logistic,lbfgs,invscaling,0.0001,0.0001,1800,0.5132275132275133
"(50, 25, 10)",tanh,sgd,invscaling,0.1,0.0001,1500,0.605489417989418
"(100, 100)",relu,adam,constant,0.1,0.1,1300,0.6040013227513228
"(100, 50)",logistic,lbfgs,constant,0.1,0.01,1400,0.5132275132275133
"(50, 25, 10)",tanh,sgd,invscaling,0.1,0.1,2000,0.6046626984126984
"(128, 64)",relu,lbfgs,adaptive,0.1,0.0001,1500,0.6025132275132276
"(50, 25, 10)",logistic,lbfgs,invscaling,0.1,0.0001,2000,0.49933862433862436
"(100, 50)",relu,lbfgs,constant,0.1,1e-06,1800,0.5958994708994709
"(100, 50)",identity,lbfgs,constant,0.1,0.0001,1400,0.6056547619047619
"(50, 25, 10)",tanh,lbfgs,invscaling,0.1,0.001,2000,0.6063161375661376
"(50, 25, 10)",tanh,lbfgs,adaptive,0.1,0.0001,1500,0.6056547619047619
"(100, 50)",relu,sgd,constant,0.1,1e-05,2000,0.6026785714285714
"(50, 50)",tanh,lbfgs,invscaling,0.1,1e-05,1500,0.6053240740740741
"(50, 25, 10)",tanh,lbfgs,constant,0.1,0.0001,1400,0.6056547619047619
"(50, 25, 10)",identity,lbfgs,constant,0.1,0.1,2000,0.6064814814814815
"(100, 50)",relu,adam,constant,0.1,0.001,1100,0.6006944444444444
"(50, 25, 10)",tanh,sgd,adaptive,0.1,0.0001,1400,0.6051587301587301
"(50, 25, 10)",identity,sgd,constant,0.1,1e-06,1400,0.6031746031746031
"(50, 25, 10)",relu,lbfgs,constant,1e-05,0.1,1800,0.5967261904761905
"(50, 25, 10)",identity,lbfgs,constant,0.001,0.1,1400,0.6064814814814815
"(50, 50)",tanh,adam,adaptive,0.1,1e-05,1500,0.6005291005291006
"(50, 50)",tanh,sgd,adaptive,0.1,0.0001,1400,0.6041666666666666
"(50, 25, 10)",relu,adam,constant,0.1,1e-05,2000,0.6018518518518519
"(100, 50)",logistic,lbfgs,constant,0.1,0.1,2000,0.5132275132275133
"(50, 25, 10)",logistic,lbfgs,constant,0.1,0.0001,900,0.49933862433862436
"(100, 100)",tanh,lbfgs,invscaling,0.1,1e-05,1500,0.6066468253968254
"(50, 50)",tanh,sgd,constant,0.1,0.01,1400,0.6040013227513228
"(100, 50)",relu,adam,invscaling,1e-05,1e-05,1200,0.6041666666666666
"(100, 100)",tanh,lbfgs,constant,1e-05,0.1,1700,0.6058201058201058
"(50, 25, 10)",identity,lbfgs,constant,0.1,0.0001,1400,0.6049933862433863
"(50, 50)",relu,sgd,adaptive,0.01,0.0001,1400,0.6048280423280423
"(50, 50)",relu,adam,constant,0.1,1e-05,2000,0.6021825396825397
"(100, 50)",tanh,lbfgs,invscaling,0.1,1e-05,1500,0.605489417989418
"(100, 100)",tanh,lbfgs,invscaling,0.1,1e-05,1400,0.6066468253968254
"(50, 50)",tanh,sgd,adaptive,1e-05,0.0001,1400,0.5355489417989417
"(50, 50)",tanh,sgd,constant,0.01,0.01,1200,0.6025132275132276
